Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21358542,00000488,false,Rx,0,8,49,00,00,7F,A6,00,00,90,
21361133,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
21362369,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
21368005,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
21368257,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21368511,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
21368757,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21369006,000005A0,false,Rx,0,8,64,01,00,F4,FD,00,00,30,
21372357,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
21372541,00000050,false,Rx,0,4,00,01,D0,D1,00,00,00,00,
21376248,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
21378371,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21378585,00000488,false,Rx,0,8,79,00,00,7F,A6,00,00,A0,
21381175,00000570,false,Rx,0,4,07,00,00,00,00,00,00,00,
21382113,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
21382365,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21382619,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21382865,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
21383115,000005A0,false,Rx,0,8,64,01,00,A2,0B,00,00,30,
21388364,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
21388549,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21389100,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
21392305,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
21392481,00000050,false,Rx,0,4,00,01,E0,E1,00,00,00,00,
21396389,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
21396411,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21396591,000005A0,false,Rx,0,8,64,01,00,50,19,00,00,30,
21398280,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21398534,00000488,false,Rx,0,8,69,00,00,7F,A6,00,00,B0,
21402358,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
21403113,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
21407029,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21407356,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
21407610,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
21408310,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
21408569,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21410105,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
21410356,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21410610,000005A0,false,Rx,0,8,64,01,00,FE,26,00,00,30,
21412294,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
21412553,00000050,false,Rx,0,4,00,01,F0,F1,00,00,00,00,
21417203,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
21418329,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21418589,00000488,false,Rx,0,8,19,00,00,7F,A6,00,00,C0,
21422320,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
21424168,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
21424419,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21424599,000005A0,false,Rx,0,8,64,01,00,AC,34,00,00,30,
21428324,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
21428583,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
