Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
917886387,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917893416,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917900473,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917907586,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917914483,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917921516,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917928479,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917935496,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917942513,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917949474,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917956451,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917963491,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917971771,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917977577,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917984519,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917991927,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917998569,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
918005422,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
918012496,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
918019599,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
918026474,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
918033496,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
918040539,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
918047597,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
918054570,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
918061563,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
918068497,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
918075517,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
918082587,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
918089524,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
918096556,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
918103562,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
