Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
303129576,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
303149566,288,false,Rx,0,8,8F,98,D0,20,0,56,CE,0
303169546,288,false,Rx,0,8,8F,98,D0,20,0,56,CE,0
303189483,288,false,Rx,0,8,8F,98,D0,20,0,56,CF,0
303209668,288,false,Rx,0,8,8F,98,D0,20,0,56,CE,0
303229537,288,false,Rx,0,8,DE,98,D0,20,0,56,CD,0
303249547,288,false,Rx,0,8,DE,98,D0,20,0,56,CF,0
303269510,288,false,Rx,0,8,DE,98,D0,20,0,56,CE,0
303289562,288,false,Rx,0,8,DE,98,D0,20,0,56,CE,0
303309545,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303329488,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303349500,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303369628,288,false,Rx,0,8,0C,98,D0,20,0,56,CE,0
303389509,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
303409541,288,false,Rx,0,8,75,98,D0,20,0,56,CC,0
303429544,288,false,Rx,0,8,75,98,D0,20,0,56,CC,0
303449565,288,false,Rx,0,8,75,98,D0,20,0,56,CC,0
303469469,288,false,Rx,0,8,8F,98,D0,20,0,56,CD,0
303489551,288,false,Rx,0,8,8F,98,D0,20,0,56,CD,0
303509541,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
303529575,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
303549572,288,false,Rx,0,8,DE,98,D0,20,0,56,CC,0
303569493,288,false,Rx,0,8,DE,98,D0,20,0,56,CD,0
303589522,288,false,Rx,0,8,DE,98,D0,20,0,56,CD,0
303609601,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303629823,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303649633,288,false,Rx,0,8,0C,98,D0,20,0,56,CC,0
303669609,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303689674,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303709712,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
303729866,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
303749706,288,false,Rx,0,8,75,98,D0,20,0,56,CC,0
303769778,288,false,Rx,0,8,8F,98,D0,20,0,56,CB,0
303789764,288,false,Rx,0,8,8F,98,D0,20,0,56,CB,0
303809827,288,false,Rx,0,8,8F,98,D0,20,0,56,CB,0
303829952,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
303850013,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
303869996,288,false,Rx,0,8,DE,98,D0,20,0,56,CC,0
303890055,288,false,Rx,0,8,DE,98,D0,20,0,56,CC,0
303910113,288,false,Rx,0,8,DE,98,D0,20,0,56,CC,0
303930167,288,false,Rx,0,8,0C,98,D0,20,0,56,CA,0
303950136,288,false,Rx,0,8,0C,98,D0,20,0,56,CA,0
303970151,288,false,Rx,0,8,0C,98,D0,20,0,56,CB,0
303990195,288,false,Rx,0,8,0C,98,D0,20,0,56,CB,0
304010290,288,false,Rx,0,8,0C,98,D0,20,0,56,CB,0
304030268,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
304050483,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
304070393,288,false,Rx,0,8,75,98,D0,20,0,56,CC,0
304090505,288,false,Rx,0,8,75,98,D0,20,0,56,CC,0
304110413,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
304130497,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
304150584,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
304170704,288,false,Rx,0,8,8F,98,D0,20,0,56,CC,0
304190768,288,false,Rx,0,8,DE,98,D0,20,0,56,CD,0
304210811,288,false,Rx,0,8,DE,98,D0,20,0,56,CC,0
304230775,288,false,Rx,0,8,DE,98,D0,20,0,56,CC,0
304250867,288,false,Rx,0,8,DE,98,D0,21,0,56,CC,0
304270925,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304290915,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304311046,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304331027,288,false,Rx,0,8,75,98,D0,21,0,56,CB,0
304349478,288,false,Rx,0,8,75,98,D0,21,0,56,CB,0
304369458,288,false,Rx,0,8,75,98,D0,21,0,56,CB,0
304389423,288,false,Rx,0,8,75,98,D0,21,0,56,CB,0
304409441,288,false,Rx,0,8,75,98,D0,21,0,56,CC,0
304429437,288,false,Rx,0,8,8F,98,D0,21,0,56,CD,0
304449458,288,false,Rx,0,8,8F,98,D0,21,0,56,CC,0
304469634,288,false,Rx,0,8,8F,98,D0,21,0,56,CB,0
304489423,288,false,Rx,0,8,8F,98,D0,21,0,56,CC,0
304509423,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
304529412,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
304549457,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
304569410,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
304589416,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304609668,288,false,Rx,0,8,0C,98,D0,21,0,56,CA,0
304629473,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304649479,288,false,Rx,0,8,0C,98,D0,21,0,56,CA,0
304669430,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
304689453,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
304709423,288,false,Rx,0,8,75,98,D0,21,0,56,CA,0
304729450,288,false,Rx,0,8,75,98,D0,21,0,56,CB,0
304749458,288,false,Rx,0,8,8F,98,D0,21,0,56,CC,0
304769423,288,false,Rx,0,8,8F,98,D0,21,0,56,CA,0
304789452,288,false,Rx,0,8,8F,98,D0,21,0,56,CA,0
304809412,288,false,Rx,0,8,8F,98,D0,21,0,56,CA,0
304829458,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
304849443,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
304869417,288,false,Rx,0,8,DE,98,D0,21,0,56,C9,0
304889456,288,false,Rx,0,8,DE,98,D0,21,0,56,C9,0
304909449,288,false,Rx,0,8,0C,98,D0,21,0,56,CA,0
304929405,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304949451,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304969474,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
304989468,288,false,Rx,0,8,75,98,D0,21,0,56,CA,0
305009411,288,false,Rx,0,8,75,98,D0,21,0,56,CA,0
305029452,288,false,Rx,0,8,75,98,D0,21,0,56,CA,0
305049414,288,false,Rx,0,8,75,98,D0,21,0,56,CA,0
305069410,288,false,Rx,0,8,8F,98,D0,21,0,56,CA,0
305089467,288,false,Rx,0,8,8F,98,D0,21,0,56,CA,0
305109519,288,false,Rx,0,8,8F,98,D0,21,0,56,CB,0
305129445,288,false,Rx,0,8,8F,98,D0,21,0,56,CA,0
305149427,288,false,Rx,0,8,DE,98,D0,21,0,56,CB,0
305169411,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
305189441,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
305209427,288,false,Rx,0,8,0C,98,D0,21,0,56,C9,0
305229453,288,false,Rx,0,8,0C,98,D0,21,0,56,C9,0
305249406,288,false,Rx,0,8,0C,98,D0,21,0,56,C9,0
305269425,288,false,Rx,0,8,0C,98,D0,21,0,56,CA,0
305289438,288,false,Rx,0,8,0C,98,D0,21,0,56,CB,0
305309441,288,false,Rx,0,8,75,98,D0,21,0,56,CB,0
305329383,288,false,Rx,0,8,75,98,D0,21,0,56,CB,0
305349383,288,false,Rx,0,8,75,98,D0,21,0,56,CA,0
305369438,288,false,Rx,0,8,75,98,D0,21,0,56,C8,0
305389451,288,false,Rx,0,8,8F,98,D0,21,0,56,C8,0
305409419,288,false,Rx,0,8,8F,98,D0,21,0,56,C9,0
305429441,288,false,Rx,0,8,8F,98,D0,21,0,56,C9,0
305449383,288,false,Rx,0,8,8F,98,D0,21,0,56,CA,0
305469423,288,false,Rx,0,8,DE,98,D0,21,0,56,C9,0
305489383,288,false,Rx,0,8,DE,98,D0,21,0,56,CA,0
305509436,288,false,Rx,0,8,DE,98,D0,21,0,56,C9,0
305529418,288,false,Rx,0,8,DE,98,D0,21,0,56,C9,0
305549438,288,false,Rx,0,8,0C,98,D0,21,0,56,C9,0
305569416,288,false,Rx,0,8,0C,98,D0,21,0,56,C9,0
305589392,288,false,Rx,0,8,0C,98,D0,21,0,56,CA,0
305609442,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
305629390,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
305649416,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
305669389,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
305689398,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
305709415,288,false,Rx,0,8,8F,98,D0,21,0,56,C9,0
305729383,288,false,Rx,0,8,8F,98,D0,21,0,56,C8,0
305749399,288,false,Rx,0,8,8F,98,D0,21,0,56,C7,0
305769359,288,false,Rx,0,8,8F,98,D0,21,0,56,C7,0
305789405,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
305809383,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
305829379,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
305849397,288,false,Rx,0,8,0C,98,D0,21,0,56,C7,0
305869427,288,false,Rx,0,8,0C,98,D0,21,0,56,C7,0
305889383,288,false,Rx,0,8,0C,98,D0,21,0,56,C7,0
305909423,288,false,Rx,0,8,0C,98,D0,21,0,56,C7,0
305929367,288,false,Rx,0,8,0C,98,D0,21,0,56,C7,0
305949360,288,false,Rx,0,8,75,98,D0,21,0,56,C8,0
305969407,288,false,Rx,0,8,75,98,D0,21,0,56,C7,0
305989465,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
306009421,288,false,Rx,0,8,75,98,D0,21,0,56,C9,0
306029381,288,false,Rx,0,8,8F,98,D0,21,0,56,C7,0
306049360,288,false,Rx,0,8,8F,98,D0,21,0,56,C7,0
306069355,288,false,Rx,0,8,8F,98,D0,21,0,56,C6,0
306089365,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306109392,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306129574,288,false,Rx,0,8,DE,98,D0,21,0,56,C7,0
306149421,288,false,Rx,0,8,DE,98,D0,21,0,56,C7,0
306169400,288,false,Rx,0,8,DE,98,D0,21,0,56,C7,0
306189447,288,false,Rx,0,8,0C,98,D0,21,0,56,C7,0
306209367,288,false,Rx,0,8,0C,98,D0,21,0,56,C7,0
306229355,288,false,Rx,0,8,0C,98,D0,21,0,56,C6,0
306249409,288,false,Rx,0,8,0C,98,D0,21,0,56,C6,0
306269412,288,false,Rx,0,8,75,98,D0,21,0,56,C6,0
306289363,288,false,Rx,0,8,75,98,D0,21,0,56,C5,0
306309420,288,false,Rx,0,8,75,98,D0,21,0,56,C5,0
306329395,288,false,Rx,0,8,8F,98,D0,21,0,56,C8,0
306349383,288,false,Rx,0,8,8F,98,D0,21,0,56,C8,0
306369401,288,false,Rx,0,8,8F,98,D0,21,0,56,C6,0
306389405,288,false,Rx,0,8,8F,98,D0,21,0,56,C6,0
306409344,288,false,Rx,0,8,8F,98,D0,21,0,56,C6,0
306429355,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306449383,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306469355,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306489402,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306509399,288,false,Rx,0,8,0C,98,D0,21,0,56,C6,0
306529339,288,false,Rx,0,8,0C,98,D0,21,0,56,C6,0
306549381,288,false,Rx,0,8,0C,98,D0,21,0,56,C5,0
306569360,288,false,Rx,0,8,75,98,D0,21,0,56,C7,0
306589349,288,false,Rx,0,8,75,98,D0,21,0,56,C7,0
306609357,288,false,Rx,0,8,75,98,D0,21,0,56,C5,0
306629333,288,false,Rx,0,8,75,98,D0,21,0,56,C5,0
306649360,288,false,Rx,0,8,75,98,D0,21,0,56,C5,0
306669355,288,false,Rx,0,8,8F,98,D0,21,0,56,C6,0
306689420,288,false,Rx,0,8,8F,98,D0,21,0,56,C5,0
306709393,288,false,Rx,0,8,8F,98,D0,21,0,56,C5,0
306729350,288,false,Rx,0,8,8F,98,D0,21,0,56,C5,0
306749353,288,false,Rx,0,8,DE,98,D0,21,0,56,C4,0
306769420,288,false,Rx,0,8,DE,98,D0,21,0,56,C4,0
306789370,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306809447,288,false,Rx,0,8,DE,98,D0,21,0,56,C6,0
306829452,288,false,Rx,0,8,0C,98,D0,21,0,56,C6,0
306849362,288,false,Rx,0,8,0C,98,D0,21,0,56,C5,0
306869493,288,false,Rx,0,8,0C,98,D0,21,0,56,C5,0
306889399,288,false,Rx,0,8,0C,98,D0,21,0,56,C6,0
306909353,288,false,Rx,0,8,75,98,D0,21,0,56,C6,0
306929541,288,false,Rx,0,8,75,98,D0,21,0,56,C6,0
306949659,288,false,Rx,0,8,75,98,D0,21,0,56,C6,0
306969460,288,false,Rx,0,8,75,98,D0,21,0,56,C6,0
306989394,288,false,Rx,0,8,8F,98,D0,21,0,56,C6,0
307009415,288,false,Rx,0,8,8F,98,D0,21,0,56,C6,0
