Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6842124,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6845190,00000050,false,Rx,0,4,00,01,20,21,00,00,00,00,
6845360,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
6846148,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
6851250,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6851421,00000488,false,Rx,0,8,D6,00,00,80,A6,00,00,F0,
6853116,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
6853362,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6853616,000005A0,false,Rx,0,8,64,01,00,64,6B,00,00,30,
6855228,00000588,false,Rx,0,8,E9,03,80,00,63,00,00,00,
6860033,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
6862065,00000288,false,Rx,0,8,0C,53,00,00,00,56,00,00,
6862087,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6865238,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
6865364,00000050,false,Rx,0,4,00,01,30,31,00,00,00,00,
6867055,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6867305,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
6867559,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6867805,000005A0,false,Rx,0,8,64,01,00,12,79,00,00,30,
6868053,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
6868377,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
6868635,00000520,false,Rx,0,8,0C,88,01,42,00,75,34,04,
6871230,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6871480,00000488,false,Rx,0,8,26,00,00,80,A6,00,00,00,
6874231,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,13,
6875244,00000588,false,Rx,0,8,E9,04,80,00,63,00,00,00,
6895145,00001000,true,Rx,0,8,00,00,02,F1,00,01,0A,74,
6896625,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
6882140,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,14,
6882164,00000288,false,Rx,0,8,0C,53,00,00,00,56,00,00,
6882180,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6882196,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6882212,000005A0,false,Rx,0,8,64,01,00,C0,86,00,00,30,
6885201,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
6885372,00000050,false,Rx,0,4,00,01,40,41,00,00,00,00,
6888124,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,15,
6891182,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6891428,00000488,false,Rx,0,8,C9,00,00,7F,A6,00,00,10,
6892286,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6898642,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,16,
6898672,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6898689,00000588,false,Rx,0,8,E9,04,7F,00,63,00,00,00,
6898705,000005A0,false,Rx,0,8,64,01,00,6E,94,00,00,30,
6902155,00000288,false,Rx,0,8,0C,53,00,00,00,56,00,00,
6902182,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6902200,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,17,
6905272,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
6905399,00000050,false,Rx,0,4,00,01,50,51,00,00,00,00,
6909139,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,18,
6909385,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6909640,000005A0,false,Rx,0,8,64,01,00,1C,A2,00,00,30,
6911180,00000280,false,Rx,0,8,01,70,00,00,70,00,2B,00,
6911426,00000488,false,Rx,0,8,06,00,00,80,A6,00,00,20,
6915240,00000588,false,Rx,0,8,E9,04,80,00,63,00,00,00,
6916178,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,19,
