Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5501959,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
5502138,00000050,false,Rx,0,4,00,01,90,91,00,00,00,00,
5503149,00000011,false,Rx,0,6,7C,82,CB,08,36,B8,00,00,
5508375,00001000,true,Rx,0,8,00,00,02,89,00,00,AF,AD,
5509937,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
5511352,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
5511374,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5511390,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5511410,00000488,false,Rx,0,8,B9,00,00,7F,A6,00,00,60,
5511427,000005A0,false,Rx,0,8,64,01,00,8E,B9,00,00,30,
5511444,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5511461,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
5511479,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
5511508,00000520,false,Rx,0,8,51,67,01,2F,80,75,34,04,
5512005,00000588,false,Rx,0,8,E9,02,7F,00,62,00,00,00,
5514855,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
5517963,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
5518220,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5521651,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
5521851,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5522105,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
5522281,00000050,false,Rx,0,4,00,01,A0,A1,00,00,00,00,
5522534,000005A0,false,Rx,0,8,64,01,00,3C,C7,00,00,30,
5528012,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5528199,00000488,false,Rx,0,8,56,00,00,80,A6,00,00,70,
5528753,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
5531935,00000588,false,Rx,0,8,E9,02,80,00,63,00,00,00,
5532417,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5535708,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
5535955,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5536210,000005A0,false,Rx,0,8,64,01,00,EA,D4,00,00,30,
5537981,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
5538229,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5541965,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
5542144,00000050,false,Rx,0,4,00,01,B0,B1,00,00,00,00,
5542698,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
5548054,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5548229,00000488,false,Rx,0,8,A6,00,00,80,A6,00,00,80,
5549806,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
5550021,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5550195,000005A0,false,Rx,0,8,64,01,00,98,E2,00,00,30,
5551965,00000588,false,Rx,0,8,E9,02,80,00,63,00,00,00,
5556617,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
5556867,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5557949,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
5558204,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5561943,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
5562123,00000050,false,Rx,0,4,00,01,C0,C1,00,00,00,00,
5563741,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
5563991,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5564240,000005A0,false,Rx,0,8,64,01,00,46,F0,00,00,30,
5568023,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5568216,00000488,false,Rx,0,8,49,00,00,7F,A6,00,00,90,
